  3095995 function calls (2865441 primitive calls) in 5.702 seconds

  Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    6.131    2.044 /usr/local/lib/python3.11/dist-packages/IPython/core/interactiveshell.py:3512(run_code)
        3    0.000    0.000    6.131    2.044 {built-in method builtins.exec}
        1    0.000    0.000    5.701    5.701 /tmp/ipython-input-1610219359.py:1(<cell line: 0>)
 120121/1    0.191    0.000    5.701    5.701 /tmp/ipython-input-3497226297.py:10(visit)
  30180/1    0.041    0.000    5.701    5.701 /tmp/ipython-input-3497226297.py:15(default_visit)
  67647/1    0.316    0.000    5.701    5.701 /tmp/ipython-input-3497226297.py:101(_visit_children)
   120792    0.467    0.000    3.461    0.000 /tmp/ipython-input-597717882.py:34(add_edge)
      336    0.006    0.000    3.277    0.010 /tmp/ipython-input-3497226297.py:56(visit_funcdef)
 3313/336    0.005    0.000    3.111    0.009 /tmp/ipython-input-3497226297.py:52(visit_compound)
18844/12842    0.033    0.000    1.899    0.000 /tmp/ipython-input-3497226297.py:26(visit_typedecl)
13132/11528    0.016    0.000    1.798    0.000 /tmp/ipython-input-3497226297.py:88(visit_decl)
     4546    0.023    0.000    1.446    0.000 /tmp/ipython-input-3497226297.py:92(visit_assignment)
   175312    0.832    0.000    1.290    0.000 /usr/local/lib/python3.11/site-packages/graph_tool/__init__.py:2761(add_edge)
   362376    1.279    0.000    1.279    0.000 /usr/local/lib/python3.11/site-packages/graph_tool/__init__.py:1019(__setitem__)
   120793    0.331    0.000    1.079    0.000 /tmp/ipython-input-597717882.py:22(add_node)
   659855    0.918    0.000    0.918    0.000 /usr/local/lib/python3.11/site-packages/graph_tool/__init__.py:2136(vertex)
5629/3760    0.022    0.000    0.900    0.000 /tmp/ipython-input-3497226297.py:37(visit_binaryop)
   483172    0.562    0.000    0.562    0.000 /usr/local/lib/python3.11/site-packages/graph_tool/__init__.py:950(__setitem__)
2178/2021    0.003    0.000    0.461    0.000 /tmp/ipython-input-3497226297.py:33(visit_unaryop)
    67647    0.065    0.000    0.259    0.000 /tmp/ipython-input-597717882.py:45(get_name_by_index)
    16585    0.018    0.000    0.175    0.000 /tmp/ipython-input-3497226297.py:20(visit_id)
    17494    0.022    0.000    0.172    0.000 /tmp/ipython-input-3497226297.py:47(visit_identifiertype)
   120793    0.164    0.000    0.164    0.000 /usr/local/lib/python3.11/site-packages/graph_tool/__init__.py:2660(add_vertex)
   156557    0.098    0.000    0.098    0.000 /usr/lib/python3.11/enum.py:1197(__str__)
    67647    0.083    0.000    0.083    0.000 /usr/local/lib/python3.11/site-packages/graph_tool/__init__.py:947(__getitem__)
     7884    0.006    0.000    0.074    0.000 /tmp/ipython-input-3497226297.py:23(visit_constant)
   120127    0.045    0.000    0.045    0.000 {built-in method builtins.getattr}
