  563021881 function calls (543904580 primitive calls) in 3155.995 seconds

  Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 120105/1    0.426    0.000 3156.624 3156.624 /home/sara/Escritorio/tesis/s-plode/s_call_graph/ast_visitor.py:13(visit)
  30180/1    0.076    0.000 3156.624 3156.624 /home/sara/Escritorio/tesis/s-plode/s_call_graph/ast_visitor.py:18(default_visit)
  67631/1    0.719    0.000 3156.602 3156.602 /home/sara/Escritorio/tesis/s-plode/s_call_graph/ast_visitor.py:115(_visit_children)
   353282    2.487    0.000 3130.304    0.009 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_sync/work/session.py:539(_run_transaction)
  1524857    3.985    0.000 2910.721    0.002 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_sync/io/_bolt.py:845(fetch_message)
  1524857    3.761    0.000 2862.840    0.002 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_sync/io/_common.py:76(pop)
  1524857    3.795    0.000 2801.463    0.002 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_sync/io/_common.py:47(_buffer_one_chunk)
  4109560    2.807    0.000 2796.279    0.001 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_async_compat/network/_bolt_socket.py:337(_wait_for_io)
  3049714    8.189    0.000 2796.121    0.001 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_sync/io/_common.py:348(receive_into_buffer)
  3049714    3.878    0.000 2786.081    0.001 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_async_compat/network/_bolt_socket.py:363(recv_into)
  3049714 2779.268    0.001 2779.268    0.001 {method 'recv_into' of '_socket.socket' objects}
  2584703    3.508    0.000 2740.299    0.001 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_sync/io/_common.py:191(inner)
      336    0.011    0.000 2450.777    7.294 /home/sara/Escritorio/tesis/s-plode/s_call_graph/ast_visitor.py:70(visit_funcdef)
 3313/336    0.013    0.000 2321.333    6.909 /home/sara/Escritorio/tesis/s-plode/s_call_graph/ast_visitor.py:66(visit_compound)
   241553    0.483    0.000 2266.549    0.009 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_sync/work/session.py:755(execute_write)
   120776    0.497    0.000 2010.007    0.017 /home/sara/Escritorio/tesis/s-plode/s_call_graph/neo4j.py:51(add_edge)
   353282    1.999    0.000 1917.870    0.005 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_sync/work/transaction.py:137(run)
   353282    0.415    0.000 1908.605    0.005 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_sync/work/result.py:173(_tx_ready_run)
   353282    2.759    0.000 1908.190    0.005 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_sync/work/result.py:179(_run)
   353282    0.692    0.000 1813.959    0.005 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_sync/work/result.py:425(_attach)
   120776    0.465    0.000 1774.580    0.015 /home/sara/Escritorio/tesis/s-plode/s_call_graph/neo4j.py:63(_add_edge)
     4546    0.048    0.000  998.767    0.220 /home/sara/Escritorio/tesis/s-plode/s_call_graph/ast_visitor.py:106(visit_assignment)
   111729    0.336    0.000  871.767    0.008 /home/sara/Escritorio/tesis/s-plode/s_call_graph/neo4j.py:94(get_name_by_index)
   111729    0.201    0.000  864.438    0.008 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_sync/work/session.py:631(execute_read)
   111729    0.342    0.000  788.829    0.007 /home/sara/Escritorio/tesis/s-plode/s_call_graph/neo4j.py:99(_get_name_by_index)
   576740    1.131    0.000  780.919    0.001 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_sync/work/result.py:383(__iter__)
   111729    0.348    0.000  727.170    0.007 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_sync/work/result.py:573(single)
   111729    0.391    0.000  726.592    0.007 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_sync/work/result.py:432(_buffer)
13132/11528    0.031    0.000  669.014    0.058 /home/sara/Escritorio/tesis/s-plode/s_call_graph/ast_visitor.py:102(visit_decl)
18844/12842    0.049    0.000  609.950    0.047 /home/sara/Escritorio/tesis/s-plode/s_call_graph/ast_visitor.py:29(visit_typedecl)
5629/3760    0.043    0.000  587.875    0.156 /home/sara/Escritorio/tesis/s-plode/s_call_graph/ast_visitor.py:51(visit_binaryop)
   353282    1.642    0.000  347.855    0.001 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_sync/work/transaction.py:210(_commit)
   706564    1.265    0.000  329.176    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_sync/io/_bolt.py:867(fetch_all)
2170/2021    0.008    0.000  284.506    0.141 /home/sara/Escritorio/tesis/s-plode/s_call_graph/ast_visitor.py:36(visit_unaryop)
   120777    0.414    0.000  273.034    0.002 /home/sara/Escritorio/tesis/s-plode/s_call_graph/neo4j.py:24(add_node)
   353282    2.272    0.000  131.760    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_sync/work/session.py:433(_open_transaction)
   353282    1.820    0.000  111.400    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_sync/work/transaction.py:84(_begin)
  1413128    2.341    0.000   85.954    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_sync/io/_bolt.py:798(_append)
   120777    0.274    0.000   83.627    0.001 /home/sara/Escritorio/tesis/s-plode/s_call_graph/neo4j.py:36(_add_node)
  1413128    3.774    0.000   77.184    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_sync/io/_common.py:144(append_message)
   353282    0.308    0.000   55.789    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_sync/work/transaction.py:132(_consume_results)
   353282    0.198    0.000   55.481    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_sync/work/result.py:493(_tx_end)
   465011    0.518    0.000   55.473    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_sync/work/result.py:485(_exhaust)
  1413128    2.167    0.000   52.539    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_codec/packstream/v1/__init__.py:225(pack_struct)
  1524857    0.945    0.000   50.681    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_codec/packstream/v1/__init__.py:297(unpack)
15067179/1524857   16.082    0.000   49.736    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_codec/packstream/v1/__init__.py:300(_unpack)
  1413128    3.403    0.000   45.855    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_codec/packstream/v1/__init__.py:232(_pack_struct)
   353282    2.042    0.000   45.731    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_sync/io/_bolt5.py:920(run)
2370291/1413128    5.381    0.000   45.677    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/neo4j/_codec/packstream/v1/__init__.py:423(_unpack_map)
