  3118744 function calls (2888229 primitive calls) in 1.875 seconds

  Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 120105/1    0.116    0.000    1.808    1.808 /home/sara/Escritorio/tesis/s-plode/s_call_graph/ast_visitor.py:13(visit)
  30180/1    0.018    0.000    1.808    1.808 /home/sara/Escritorio/tesis/s-plode/s_call_graph/ast_visitor.py:18(default_visit)
  67631/1    0.135    0.000    1.808    1.808 /home/sara/Escritorio/tesis/s-plode/s_call_graph/ast_visitor.py:115(_visit_children)
      336    0.002    0.000    1.023    0.003 /home/sara/Escritorio/tesis/s-plode/s_call_graph/ast_visitor.py:70(visit_funcdef)
 3313/336    0.002    0.000    0.987    0.003 /home/sara/Escritorio/tesis/s-plode/s_call_graph/ast_visitor.py:66(visit_compound)
   120777    0.074    0.000    0.725    0.000 /home/sara/Escritorio/tesis/s-plode/s_call_graph/networkX.py:19(add_node)
18844/12842    0.011    0.000    0.676    0.000 /home/sara/Escritorio/tesis/s-plode/s_call_graph/ast_visitor.py:29(visit_typedecl)
   120777    0.587    0.000    0.651    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/networkx/classes/digraph.py:439(add_node)
   120776    0.084    0.000    0.561    0.000 /home/sara/Escritorio/tesis/s-plode/s_call_graph/networkX.py:32(add_edge)
13132/11528    0.007    0.000    0.537    0.000 /home/sara/Escritorio/tesis/s-plode/s_call_graph/ast_visitor.py:102(visit_decl)
   175734    0.361    0.000    0.477    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/networkx/classes/digraph.py:666(add_edge)
     4546    0.009    0.000    0.460    0.000 /home/sara/Escritorio/tesis/s-plode/s_call_graph/ast_visitor.py:106(visit_assignment)
5629/3760    0.009    0.000    0.354    0.000 /home/sara/Escritorio/tesis/s-plode/s_call_graph/ast_visitor.py:51(visit_binaryop)
2170/2021    0.002    0.000    0.101    0.000 /home/sara/Escritorio/tesis/s-plode/s_call_graph/ast_visitor.py:36(visit_unaryop)
   296511    0.054    0.000    0.083    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/networkx/utils/misc.py:593(_clear_cache)
   111729    0.031    0.000    0.074    0.000 /home/sara/Escritorio/tesis/s-plode/s_call_graph/networkX.py:51(get_name_by_index)
   296511    0.069    0.000    0.069    0.000 {method 'update' of 'dict' objects}
    17494    0.009    0.000    0.056    0.000 /home/sara/Escritorio/tesis/s-plode/s_call_graph/ast_visitor.py:61(visit_identifiertype)
   416616    0.056    0.000    0.056    0.000 {built-in method builtins.getattr}
    16577    0.006    0.000    0.046    0.000 /home/sara/Escritorio/tesis/s-plode/s_call_graph/ast_visitor.py:23(visit_id)
   111729    0.028    0.000    0.043    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/networkx/classes/reportviews.py:190(__getitem__)
   175735    0.034    0.000    0.034    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/networkx/classes/reportviews.py:1076(__iter__)
        1    0.000    0.000    0.033    0.033 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/networkx/classes/reportviews.py:1073(__len__)
        1    0.008    0.008    0.033    0.033 {built-in method builtins.sum}
   175737    0.028    0.000    0.028    0.000 {method 'get' of 'dict' objects}
   120778    0.018    0.000    0.025    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/networkx/classes/reportviews.py:1074(<genexpr>)
     7884    0.003    0.000    0.022    0.000 /home/sara/Escritorio/tesis/s-plode/s_call_graph/ast_visitor.py:26(visit_constant)
   120105    0.020    0.000    0.020    0.000 {method 'lower' of 'str' objects}
   116786    0.016    0.000    0.016    0.000 {method 'append' of 'list' objects}
   114521    0.015    0.000    0.015    0.000 {built-in method builtins.isinstance}
