  1971058 function calls (1740544 primitive calls) in 1.314 seconds

  Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 120105/1    0.109    0.000    1.314    1.314 /home/sara/Escritorio/tesis/s-plode/s_call_graph/ast_visitor.py:13(visit)
  30180/1    0.017    0.000    1.314    1.314 /home/sara/Escritorio/tesis/s-plode/s_call_graph/ast_visitor.py:18(default_visit)
  67631/1    0.124    0.000    1.314    1.314 /home/sara/Escritorio/tesis/s-plode/s_call_graph/ast_visitor.py:115(_visit_children)
   120776    0.246    0.000    0.742    0.000 /home/sara/Escritorio/tesis/s-plode/s_call_graph/pygraph.py:30(add_edge)
      336    0.002    0.000    0.742    0.002 /home/sara/Escritorio/tesis/s-plode/s_call_graph/ast_visitor.py:70(visit_funcdef)
 3313/336    0.002    0.000    0.717    0.002 /home/sara/Escritorio/tesis/s-plode/s_call_graph/ast_visitor.py:66(visit_compound)
   219378    0.434    0.000    0.496    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/pygraph/classes/directed_graph.py:64(new_edge)
13132/11528    0.007    0.000    0.482    0.000 /home/sara/Escritorio/tesis/s-plode/s_call_graph/ast_visitor.py:102(visit_decl)
18844/12842    0.011    0.000    0.480    0.000 /home/sara/Escritorio/tesis/s-plode/s_call_graph/ast_visitor.py:29(visit_typedecl)
     4546    0.009    0.000    0.220    0.000 /home/sara/Escritorio/tesis/s-plode/s_call_graph/ast_visitor.py:106(visit_assignment)
   120777    0.037    0.000    0.130    0.000 /home/sara/Escritorio/tesis/s-plode/s_call_graph/pygraph.py:19(add_node)
5629/3760    0.008    0.000    0.130    0.000 /home/sara/Escritorio/tesis/s-plode/s_call_graph/ast_visitor.py:51(visit_binaryop)
   120777    0.071    0.000    0.093    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/pygraph/classes/directed_graph.py:48(new_node)
2170/2021    0.002    0.000    0.071    0.000 /home/sara/Escritorio/tesis/s-plode/s_call_graph/ast_visitor.py:36(visit_unaryop)
   336164    0.042    0.000    0.042    0.000 {method 'append' of 'list' objects}
   219378    0.035    0.000    0.035    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/pygraph/classes/directed_graph.py:43(generate_edge_id)
    17494    0.009    0.000    0.031    0.000 /home/sara/Escritorio/tesis/s-plode/s_call_graph/ast_visitor.py:61(visit_identifiertype)
   120105    0.027    0.000    0.027    0.000 {built-in method builtins.getattr}
    16577    0.005    0.000    0.023    0.000 /home/sara/Escritorio/tesis/s-plode/s_call_graph/ast_visitor.py:23(visit_id)
   120777    0.022    0.000    0.022    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/pygraph/classes/directed_graph.py:38(generate_node_id)
   120105    0.019    0.000    0.019    0.000 {method 'lower' of 'str' objects}
    18844    0.011    0.000    0.013    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/pycparser/c_ast.py:1001(children)
     7884    0.003    0.000    0.011    0.000 /home/sara/Escritorio/tesis/s-plode/s_call_graph/ast_visitor.py:26(visit_constant)
    13132    0.008    0.000    0.010    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/pycparser/c_ast.py:411(children)
     3313    0.008    0.000    0.010    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/pycparser/c_ast.py:334(children)
     9092    0.007    0.000    0.009    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/pycparser/c_ast.py:218(children)
    67631    0.006    0.000    0.006    0.000 /home/sara/Escritorio/tesis/s-plode/s_call_graph/pygraph.py:43(get_name_by_index)
     3287    0.004    0.000    0.004    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/pycparser/c_ast.py:314(children)
     1331    0.004    0.000    0.004    0.000 /home/sara/.cache/pypoetry/virtualenvs/s-call-graph-EF0hbMRp-py3.12/lib/python3.12/site-packages/pycparser/c_ast.py:912(children)
